"Hostname","AppName","InstallPath","AppVersion"
"Host003","Microsoft Visual C++ 2019 X64 Additional Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Additional Runtime","7.48"
"Host003","KeePassXC","C:\Program Files (x86)\KeePassXC","1.8"
"Host003","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.39"
"Host003","Microsoft Visual C++ 2019 X64 Minimum Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Minimum Runtime","7.44"
"Host003","PowerShell","C:\Program Files (x86)\PowerShell","1.9"
"Host003","VMware Tools","C:\Program Files (x86)\VMware Tools","2.11"
"Host003","Microsoft Visual Studio Code","C:\Program Files (x86)\Microsoft Visual Studio Code","4.26"
"Host003","Wireshark 64-bit","C:\Program Files\Wireshark 64-bit","2.14"
"Host003","Java 8 Update","C:\Program Files (x86)\Java 8 Update","3.13"
"Host003","Java Auto Updater","C:\Program Files (x86)\Java Auto Updater","3.17"
"Host003","Citrix XenCenter","C:\Program Files (x86)\Citrix XenCenter","2.14"
"Host003","OpenOffice","C:\Program Files (x86)\OpenOffice","1.9"
"Host003","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.41"
"Host003","Microsoft Visual C++ 2015-2019 Redistributable (x64)","C:\Program Files\Microsoft Visual C++ 2015-2019 Redistributable (x64)","6.50"
"Host003","Microsoft Visual C++ 2019 X86 Additional Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Additional Runtime","7.48"
"Host003","RVTools","C:\Program Files (x86)\RVTools","1.7"
"Host003","Microsoft Visual C++ 2015-2019 Redistributable (x86)","C:\Program Files (x86)\Microsoft Visual C++ 2015-2019 Redistributable (x86)","6.51"
"Host003","Microsoft Visual C++ 2019 X86 Minimum Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Minimum Runtime","7.44"
"Host003","XmlNotepad","C:\Program Files (x86)\XmlNotepad","1.8"
"Host003","MySQL Connector Net","C:\Program Files (x86)\MySQL Connector Net","3.19"
"Host003","Microsoft OneDrive","C:\Program Files (x86)\Microsoft OneDrive","2.17"
"Host003","Postman-win","C:\Program Files (x86)\Postman-win","1.9"
"Host004","SANS 5X7 AV","C:\Program Files (x86)\SANS 5X7 AV","1.235"
"Host004","SoapUI","C:\Program Files (x86)\SoapUI","1.5"
"Host004","7-Zip 19.00 (x64)","C:\Program Files\7-Zip 19.00 (x64)","3.15"
"Host004","Git version","C:\Program Files (x86)\Git version","2.9"
"Host004","Mozilla Firefox ESR (x64 en-US)","C:\Program Files\Mozilla Firefox ESR (x64 en-US)","5.30"
"Host004","OpenSSL (64-bit)","C:\Program Files\OpenSSL (64-bit)","2.15"
"Host004","PuTTY (64-bit)","C:\Program Files\PuTTY (64-bit)","2.12"
"Host004","Windows Subsystem for Linux Update","C:\Program Files (x86)\Windows Subsystem for Linux Update","5.33"
"Host004","AWS Command Line Interface","C:\Program Files (x86)\AWS Command Line Interface","4.26"
"Host004","Java 8 (64-bit)","C:\Program Files\Java 8 (64-bit)","3.15"
"Host004","Microsoft Visual C++ 2019 X64 Additional Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Additional Runtime","7.46"
"Host004","KeePassXC","C:\Program Files (x86)\KeePassXC","1.7"
"Host004","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.41"
"Host004","Microsoft Visual C++ 2019 X64 Minimum Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Minimum Runtime","7.43"
"Host004","PowerShell","C:\Program Files (x86)\PowerShell","1.9"
"Host004","VMware Tools","C:\Program Files (x86)\VMware Tools","2.12"
"Host004","Microsoft Visual Studio Code","C:\Program Files (x86)\Microsoft Visual Studio Code","4.28"
"Host004","Wireshark 64-bit","C:\Program Files\Wireshark 64-bit","2.14"
"Host004","Java 8 Update","C:\Program Files (x86)\Java 8 Update","3.13"
"Host004","Java Auto Updater","C:\Program Files (x86)\Java Auto Updater","3.16"
"Host004","Citrix XenCenter","C:\Program Files (x86)\Citrix XenCenter","2.15"
"Host004","OpenOffice","C:\Program Files (x86)\OpenOffice","1.9"
"Host004","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.40"
"Host004","Microsoft Visual C++ 2015-2019 Redistributable (x64)","C:\Program Files\Microsoft Visual C++ 2015-2019 Redistributable (x64)","6.51"
"Host004","Microsoft Visual C++ 2019 X86 Additional Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Additional Runtime","7.46"
"Host004","RVTools","C:\Program Files (x86)\RVTools","1.6"
"Host004","Microsoft Visual C++ 2015-2019 Redistributable (x86)","C:\Program Files (x86)\Microsoft Visual C++ 2015-2019 Redistributable (x86)","6.52"
"Host004","Microsoft Visual C++ 2019 X86 Minimum Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Minimum Runtime","7.43"
"Host004","XmlNotepad","C:\Program Files (x86)\XmlNotepad","1.9"
"Host004","MySQL Connector Net","C:\Program Files (x86)\MySQL Connector Net","3.17"
"Host004","Microsoft OneDrive","C:\Program Files (x86)\Microsoft OneDrive","2.18"
"Host004","Postman-win","C:\Program Files (x86)\Postman-win","1.10"
"Host005","SANS 5X7 AV","C:\Program Files (x86)\SANS 5X7 AV","1.235"
"Host005","SoapUI","C:\Program Files (x86)\SoapUI","1.6"
"Host005","7-Zip 19.00 (x64)","C:\Program Files\7-Zip 19.00 (x64)","3.16"
"Host005","Git version","C:\Program Files (x86)\Git version","2.9"
"Host005","Mozilla Firefox ESR (x64 en-US)","C:\Program Files\Mozilla Firefox ESR (x64 en-US)","5.29"
"Host005","OpenSSL (64-bit)","C:\Program Files\OpenSSL (64-bit)","2.15"
"Host005","PuTTY (64-bit)","C:\Program Files\PuTTY (64-bit)","2.12"
"Host005","Windows Subsystem for Linux Update","C:\Program Files (x86)\Windows Subsystem for Linux Update","5.34"
"Host005","AWS Command Line Interface","C:\Program Files (x86)\AWS Command Line Interface","4.24"
"Host005","Java 8 (64-bit)","C:\Program Files\Java 8 (64-bit)","3.13"
"Host005","Microsoft Visual C++ 2019 X64 Additional Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Additional Runtime","7.46"
"Host005","KeePassXC","C:\Program Files (x86)\KeePassXC","1.7"
"Host005","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.41"
"Host005","Microsoft Visual C++ 2019 X64 Minimum Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Minimum Runtime","7.44"
"Host005","PowerShell","C:\Program Files (x86)\PowerShell","1.10"
"Host005","VMware Tools","C:\Program Files (x86)\VMware Tools","2.10"
"Host005","Microsoft Visual Studio Code","C:\Program Files (x86)\Microsoft Visual Studio Code","4.26"
"Host005","Wireshark 64-bit","C:\Program Files\Wireshark 64-bit","2.15"
"Host005","Java 8 Update","C:\Program Files (x86)\Java 8 Update","3.11"
"Host005","Java Auto Updater","C:\Program Files (x86)\Java Auto Updater","3.15"
"Host005","Citrix XenCenter","C:\Program Files (x86)\Citrix XenCenter","2.16"
"Host005","OpenOffice","C:\Program Files (x86)\OpenOffice","1.9"
"Host005","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.40"
"Host005","Microsoft Visual C++ 2015-2019 Redistributable (x64)","C:\Program Files\Microsoft Visual C++ 2015-2019 Redistributable (x64)","6.51"
"Host005","Microsoft Visual C++ 2019 X86 Additional Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Additional Runtime","7.48"
"Host005","RVTools","C:\Program Files (x86)\RVTools","1.7"
"Host005","Microsoft Visual C++ 2015-2019 Redistributable (x86)","C:\Program Files (x86)\Microsoft Visual C++ 2015-2019 Redistributable (x86)","6.50"
"Host005","Microsoft Visual C++ 2019 X86 Minimum Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Minimum Runtime","7.45"
"Host005","XmlNotepad","C:\Program Files (x86)\XmlNotepad","1.10"
"Host005","MySQL Connector Net","C:\Program Files (x86)\MySQL Connector Net","3.19"
"Host005","Microsoft OneDrive","C:\Program Files (x86)\Microsoft OneDrive","2.16"
"Host005","Postman-win","C:\Program Files (x86)\Postman-win","1.10"
"Host006","SANS 5X7 AV","C:\Program Files (x86)\SANS 5X7 AV","1.235"
"Host006","SoapUI","C:\Program Files (x86)\SoapUI","1.4"
"Host006","7-Zip 19.00 (x64)","C:\Program Files\7-Zip 19.00 (x64)","3.16"
"Host006","Git version","C:\Program Files (x86)\Git version","2.9"
"Host006","Mozilla Firefox ESR (x64 en-US)","C:\Program Files\Mozilla Firefox ESR (x64 en-US)","5.29"
"Host006","OpenSSL (64-bit)","C:\Program Files\OpenSSL (64-bit)","2.15"
"Host006","PuTTY (64-bit)","C:\Program Files\PuTTY (64-bit)","2.14"
"Host006","Windows Subsystem for Linux Update","C:\Program Files (x86)\Windows Subsystem for Linux Update","5.33"
"Host006","AWS Command Line Interface","C:\Program Files (x86)\AWS Command Line Interface","4.26"
"Host006","Java 8 (64-bit)","C:\Program Files\Java 8 (64-bit)","3.15"
"Host006","Microsoft Visual C++ 2019 X64 Additional Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Additional Runtime","7.46"
"Host006","KeePassXC","C:\Program Files (x86)\KeePassXC","1.9"
"Host006","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.41"
"Host006","Microsoft Visual C++ 2019 X64 Minimum Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Minimum Runtime","7.43"
"Host006","PowerShell","C:\Program Files (x86)\PowerShell","1.8"
"Host006","VMware Tools","C:\Program Files (x86)\VMware Tools","2.11"
"Host006","Microsoft Visual Studio Code","C:\Program Files (x86)\Microsoft Visual Studio Code","4.26"
"Host006","Wireshark 64-bit","C:\Program Files\Wireshark 64-bit","2.14"
"Host006","Java 8 Update","C:\Program Files (x86)\Java 8 Update","3.13"
"Host006","Java Auto Updater","C:\Program Files (x86)\Java Auto Updater","3.17"
"Host006","Citrix XenCenter","C:\Program Files (x86)\Citrix XenCenter","2.15"
"Host006","OpenOffice","C:\Program Files (x86)\OpenOffice","1.8"
"Host006","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.40"
"Host006","Microsoft Visual C++ 2015-2019 Redistributable (x64)","C:\Program Files\Microsoft Visual C++ 2015-2019 Redistributable (x64)","6.52"
"Host006","Microsoft Visual C++ 2019 X86 Additional Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Additional Runtime","7.47"
"Host006","RVTools","C:\Program Files (x86)\RVTools","1.5"
"Host006","Microsoft Visual C++ 2015-2019 Redistributable (x86)","C:\Program Files (x86)\Microsoft Visual C++ 2015-2019 Redistributable (x86)","6.51"
"Host006","Microsoft Visual C++ 2019 X86 Minimum Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Minimum Runtime","7.43"
"Host006","XmlNotepad","C:\Program Files (x86)\XmlNotepad","1.9"
"Host006","MySQL Connector Net","C:\Program Files (x86)\MySQL Connector Net","3.17"
"Host006","Microsoft OneDrive","C:\Program Files (x86)\Microsoft OneDrive","2.17"
"Host006","Postman-win","C:\Program Files (x86)\Postman-win","1.9"
"Host007","SANS 5X7 AV","C:\Program Files (x86)\SANS 5X7 AV","1.235"
"Host007","SoapUI","C:\Program Files (x86)\SoapUI","1.4"
"Host007","7-Zip 19.00 (x64)","C:\Program Files\7-Zip 19.00 (x64)","3.17"
"Host007","Git version","C:\Program Files (x86)\Git version","2.9"
"Host007","Mozilla Firefox ESR (x64 en-US)","C:\Program Files\Mozilla Firefox ESR (x64 en-US)","5.31"
"Host007","OpenSSL (64-bit)","C:\Program Files\OpenSSL (64-bit)","2.16"
"Host007","PuTTY (64-bit)","C:\Program Files\PuTTY (64-bit)","2.12"
"Host007","Windows Subsystem for Linux Update","C:\Program Files (x86)\Windows Subsystem for Linux Update","5.34"
"Host007","AWS Command Line Interface","C:\Program Files (x86)\AWS Command Line Interface","4.24"
"Host007","Java 8 (64-bit)","C:\Program Files\Java 8 (64-bit)","3.15"
"Host007","Microsoft Visual C++ 2019 X64 Additional Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Additional Runtime","7.46"
"Host007","KeePassXC","C:\Program Files (x86)\KeePassXC","1.9"
"Host007","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.41"
"Host007","Microsoft Visual C++ 2019 X64 Minimum Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Minimum Runtime","7.45"
"Host007","PowerShell","C:\Program Files (x86)\PowerShell","1.9"
"Host007","VMware Tools","C:\Program Files (x86)\VMware Tools","2.11"
"Host007","Microsoft Visual Studio Code","C:\Program Files (x86)\Microsoft Visual Studio Code","4.28"
"Host007","Wireshark 64-bit","C:\Program Files\Wireshark 64-bit","2.16"
"Host007","Java 8 Update","C:\Program Files (x86)\Java 8 Update","3.13"
"Host007","Java Auto Updater","C:\Program Files (x86)\Java Auto Updater","3.15"
"Host007","Citrix XenCenter","C:\Program Files (x86)\Citrix XenCenter","2.14"
"Host007","OpenOffice","C:\Program Files (x86)\OpenOffice","1.8"
"Host007","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.41"
"Host007","Microsoft Visual C++ 2015-2019 Redistributable (x64)","C:\Program Files\Microsoft Visual C++ 2015-2019 Redistributable (x64)","6.51"
"Host007","Microsoft Visual C++ 2019 X86 Additional Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Additional Runtime","7.47"
"Host007","RVTools","C:\Program Files (x86)\RVTools","1.5"
"Host007","Microsoft Visual C++ 2015-2019 Redistributable (x86)","C:\Program Files (x86)\Microsoft Visual C++ 2015-2019 Redistributable (x86)","6.51"
"Host007","Microsoft Visual C++ 2019 X86 Minimum Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Minimum Runtime","7.45"
"Host007","XmlNotepad","C:\Program Files (x86)\XmlNotepad","1.8"
"Host007","MySQL Connector Net","C:\Program Files (x86)\MySQL Connector Net","3.19"
"Host007","Microsoft OneDrive","C:\Program Files (x86)\Microsoft OneDrive","2.18"
"Host007","Postman-win","C:\Program Files (x86)\Postman-win","1.11"
"Host008","SANS 5X7 AV","C:\Program Files (x86)\SANS 5X7 AV","1.235"
"Host008","SoapUI","C:\Program Files (x86)\SoapUI","1.4"
"Host008","7-Zip 19.00 (x64)","C:\Program Files\7-Zip 19.00 (x64)","3.15"
"Host008","Git version","C:\Program Files (x86)\Git version","2.11"
"Host008","Mozilla Firefox ESR (x64 en-US)","C:\Program Files\Mozilla Firefox ESR (x64 en-US)","5.29"
"Host008","OpenSSL (64-bit)","C:\Program Files\OpenSSL (64-bit)","2.15"
"Host008","PuTTY (64-bit)","C:\Program Files\PuTTY (64-bit)","2.13"
"Host008","Windows Subsystem for Linux Update","C:\Program Files (x86)\Windows Subsystem for Linux Update","5.34"
"Host008","AWS Command Line Interface","C:\Program Files (x86)\AWS Command Line Interface","4.26"
"Host008","Java 8 (64-bit)","C:\Program Files\Java 8 (64-bit)","3.14"
"Host008","Microsoft Visual C++ 2019 X64 Additional Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Additional Runtime","7.48"
"Host008","KeePassXC","C:\Program Files (x86)\KeePassXC","1.9"
"Host008","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.40"
"Host008","Microsoft Visual C++ 2019 X64 Minimum Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Minimum Runtime","7.45"
"Host008","PowerShell","C:\Program Files (x86)\PowerShell","1.10"
"Host008","VMware Tools","C:\Program Files (x86)\VMware Tools","2.10"
"Host008","Microsoft Visual Studio Code","C:\Program Files (x86)\Microsoft Visual Studio Code","4.28"
"Host008","Wireshark 64-bit","C:\Program Files\Wireshark 64-bit","2.14"
"Host008","Java 8 Update","C:\Program Files (x86)\Java 8 Update","3.13"
"Host008","Java Auto Updater","C:\Program Files (x86)\Java Auto Updater","3.15"
"Host008","Citrix XenCenter","C:\Program Files (x86)\Citrix XenCenter","2.14"
"Host008","OpenOffice","C:\Program Files (x86)\OpenOffice","1.10"
"Host008","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.39"
"Host008","Microsoft Visual C++ 2015-2019 Redistributable (x64)","C:\Program Files\Microsoft Visual C++ 2015-2019 Redistributable (x64)","6.52"
"Host008","Microsoft Visual C++ 2019 X86 Additional Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Additional Runtime","7.48"
"Host008","RVTools","C:\Program Files (x86)\RVTools","1.6"
"Host008","Microsoft Visual C++ 2015-2019 Redistributable (x86)","C:\Program Files (x86)\Microsoft Visual C++ 2015-2019 Redistributable (x86)","6.51"
"Host008","Microsoft Visual C++ 2019 X86 Minimum Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Minimum Runtime","7.44"
"Host008","XmlNotepad","C:\Program Files (x86)\XmlNotepad","1.10"
"Host008","MySQL Connector Net","C:\Program Files (x86)\MySQL Connector Net","3.18"
"Host008","Microsoft OneDrive","C:\Program Files (x86)\Microsoft OneDrive","2.18"
"Host008","Postman-win","C:\Program Files (x86)\Postman-win","1.9"
"Host009","SANS 5X7 AV","C:\Program Files (x86)\SANS 5X7 AV","1.235"
"Host009","SoapUI","C:\Program Files (x86)\SoapUI","1.6"
"Host009","7-Zip 19.00 (x64)","C:\Program Files\7-Zip 19.00 (x64)","3.15"
"Host009","Git version","C:\Program Files (x86)\Git version","2.9"
"Host009","Mozilla Firefox ESR (x64 en-US)","C:\Program Files\Mozilla Firefox ESR (x64 en-US)","5.31"
"Host009","OpenSSL (64-bit)","C:\Program Files\OpenSSL (64-bit)","2.14"
"Host009","PuTTY (64-bit)","C:\Program Files\PuTTY (64-bit)","2.12"
"Host009","Windows Subsystem for Linux Update","C:\Program Files (x86)\Windows Subsystem for Linux Update","5.33"
"Host009","AWS Command Line Interface","C:\Program Files (x86)\AWS Command Line Interface","4.25"
"Host009","Java 8 (64-bit)","C:\Program Files\Java 8 (64-bit)","3.13"
"Host009","Microsoft Visual C++ 2019 X64 Additional Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Additional Runtime","7.48"
"Host009","KeePassXC","C:\Program Files (x86)\KeePassXC","1.8"
"Host009","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.40"
"Host009","Microsoft Visual C++ 2019 X64 Minimum Runtime","C:\Program Files\Microsoft Visual C++ 2019 X64 Minimum Runtime","7.45"
"Host009","PowerShell","C:\Program Files (x86)\PowerShell","1.8"
"Host009","VMware Tools","C:\Program Files (x86)\VMware Tools","2.12"
"Host009","Microsoft Visual Studio Code","C:\Program Files (x86)\Microsoft Visual Studio Code","4.27"
"Host009","Wireshark 64-bit","C:\Program Files\Wireshark 64-bit","2.14"
"Host009","Java 8 Update","C:\Program Files (x86)\Java 8 Update","3.13"
"Host009","Java Auto Updater","C:\Program Files (x86)\Java Auto Updater","3.17"
"Host009","Citrix XenCenter","C:\Program Files (x86)\Citrix XenCenter","2.15"
"Host009","OpenOffice","C:\Program Files (x86)\OpenOffice","1.9"
"Host009","Microsoft Visual C++ 2008 Redistributable","C:\Program Files (x86)\Microsoft Visual C++ 2008 Redistributable","5.41"
"Host009","Microsoft Visual C++ 2015-2019 Redistributable (x64)","C:\Program Files\Microsoft Visual C++ 2015-2019 Redistributable (x64)","6.50"
"Host009","Microsoft Visual C++ 2019 X86 Additional Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Additional Runtime","7.47"
"Host009","RVTools","C:\Program Files (x86)\RVTools","1.6"
"Host009","Microsoft Visual C++ 2015-2019 Redistributable (x86)","C:\Program Files (x86)\Microsoft Visual C++ 2015-2019 Redistributable (x86)","6.51"
"Host009","Microsoft Visual C++ 2019 X86 Minimum Runtime","C:\Program Files (x86)\Microsoft Visual C++ 2019 X86 Minimum Runtime","7.44"
"Host009","XmlNotepad","C:\Program Files (x86)\XmlNotepad","1.9"
"Host009","MySQL Connector Net","C:\Program Files (x86)\MySQL Connector Net","3.18"
"Host009","Microsoft OneDrive","C:\Program Files (x86)\Microsoft OneDrive","2.16"
